iter	Passed	Remaining
607	6809	4390
608	6820	4379
609	6832	4368
610	6845	4358
611	6855	4346
612	6866	4334
613	6876	4323
614	6887	4311
615	6897	4299
616	6910	4289
617	6922	4279
618	6934	4268
619	6947	4257
620	6959	4247
621	6971	4236
622	6987	4228
623	6999	4217
624	7013	4208
625	7027	4198
626	7038	4187
627	7051	4177
628	7064	4166
629	7076	4155
630	7088	4145
631	7101	4134
632	7112	4123
633	7125	4113
634	7138	4102
635	7149	4091
636	7161	4081
637	7173	4070
638	7186	4059
639	7199	4049
640	7211	4038
641	7222	4027
642	7235	4017
643	7247	4006
644	7258	3995
645	7269	3983
646	7279	3971
647	7290	3960
648	7304	3950
649	7315	3939
650	7326	3927
651	7337	3916
652	7349	3905
653	7360	3894
654	7372	3883
655	7383	3871
656	7395	3860
657	7406	3849
658	7417	3838
659	7429	3827
660	7440	3815
661	7452	3804
662	7463	3793
663	7473	3781
664	7484	3770
665	7495	3759
666	7506	3747
667	7517	3736
668	7528	3724
669	7539	3713
670	7550	3702
671	7562	3691
672	7573	3679
673	7585	3668
674	7597	3657
675	7608	3646
676	7620	3635
677	7631	3624
678	7642	3612
679	7652	3601
680	7663	3589
681	7674	3578
682	7685	3567
683	7696	3555
684	7707	3544
685	7718	3532
686	7729	3521
687	7741	3510
688	7753	3499
689	7764	3488
690	7775	3476
691	7785	3465
692	7796	3453
693	7807	3442
694	7818	3431
695	7832	3421
696	7844	3410
697	7855	3398
698	7865	3386
699	7875	3375
700	7886	3363
701	7896	3352
702	7906	3340
703	7917	3328
704	7930	3318
705	7944	3308
706	7959	3298
707	7971	3287
708	7982	3276
709	7994	3265
710	8006	3254
711	8016	3242
712	8027	3231
713	8038	3219
714	8049	3208
715	8060	3197
716	8071	3185
717	8082	3174
718	8093	3162
719	8103	3151
720	8114	3140
721	8126	3129
722	8137	3117
723	8148	3106
724	8160	3095
725	8170	3083
726	8180	3072
727	8192	3060
728	8202	3049
729	8213	3037
730	8224	3026
731	8234	3014
732	8245	3003
733	8256	2992
734	8267	2980
735	8278	2969
736	8289	2958
737	8300	2946
738	8310	2935
739	8321	2923
740	8331	2912
741	8342	2900
742	8352	2889
743	8363	2877
744	8373	2866
745	8384	2854
746	8394	2843
747	8406	2832
748	8418	2821
749	8429	2809
750	8441	2799
751	8454	2788
752	8467	2777
753	8478	2766
754	8490	2755
755	8503	2744
756	8514	2733
757	8525	2721
758	8536	2710
759	8546	2698
760	8557	2687
761	8567	2675
762	8578	2664
763	8588	2653
764	8599	2641
765	8610	2630
766	8620	2618
767	8631	2607
768	8641	2595
769	8652	2584
770	8664	2573
771	8675	2562
772	8685	2550
773	8696	2539
774	8706	2527
775	8717	2516
776	8728	2505
777	8738	2493
778	8748	2482
779	8760	2470
780	8770	2459
781	8781	2448
782	8792	2436
783	8806	2426
784	8819	2415
785	8830	2404
786	8841	2392
787	8852	2381
788	8864	2370
789	8875	2359
790	8886	2348
791	8898	2336
792	8909	2325
793	8920	2314
794	8932	2303
795	8942	2291
796	8953	2280
797	8963	2269
798	8974	2257
799	8987	2246
800	8998	2235
801	9008	2224
802	9019	2212
803	9030	2201
804	9041	2190
805	9051	2178
806	9062	2167
807	9073	2155
808	9083	2144
809	9094	2133
810	9104	2121
811	9115	2110
812	9125	2099
813	9136	2087
814	9147	2076
815	9158	2065
816	9168	2053
817	9179	2042
818	9190	2031
819	9201	2019
820	9211	2008
821	9222	1996
822	9232	1985
823	9244	1974
824	9254	1963
825	9265	1951
826	9276	1940
827	9287	1929
828	9297	1917
829	9309	1906
830	9319	1895
831	9330	1884
832	9341	1872
833	9352	1861
834	9363	1850
835	9373	1838
836	9385	1827
837	9396	1816
838	9407	1805
839	9419	1794
840	9430	1782
841	9441	1771
842	9453	1760
843	9465	1749
844	9476	1738
845	9487	1727
846	9498	1715
847	9509	1704
848	9520	1693
849	9533	1682
850	9544	1671
851	9556	1660
852	9568	1648
853	9579	1637
854	9590	1626
855	9602	1615
856	9614	1604
857	9625	1593
858	9636	1581
859	9648	1570
860	9659	1559
861	9670	1548
862	9683	1537
863	9694	1525
864	9705	1514
865	9717	1503
866	9728	1492
867	9739	1481
868	9751	1470
869	9762	1458
870	9775	1447
871	9785	1436
872	9797	1425
873	9808	1414
874	9819	1402
875	9830	1391
876	9841	1380
877	9853	1369
878	9864	1357
879	9875	1346
880	9886	1335
881	9897	1324
882	9908	1312
883	9919	1301
884	9929	1290
885	9940	1279
886	9950	1267
887	9961	1256
888	9974	1245
889	9987	1234
890	9999	1223
891	10011	1212
892	10023	1201
893	10034	1189
894	10045	1178
895	10056	1167
896	10067	1156
897	10078	1144
898	10089	1133
899	10101	1122
900	10113	1111
901	10124	1099
902	10135	1088
903	10146	1077
904	10156	1066
905	10167	1054
906	10178	1043
907	10189	1032
908	10199	1021
909	10210	1009
910	10220	998
911	10231	987
912	10242	976
913	10253	964
914	10264	953
915	10274	942
916	10286	931
917	10297	919
918	10308	908
919	10318	897
920	10328	885
921	10340	874
922	10351	863
923	10364	852
924	10375	841
925	10386	830
926	10397	818
927	10409	807
928	10421	796
929	10431	785
